LastUpdateDT,UNIT,COMPANY_CODE,COMPANY_REGION_SRC,PROFIT_CENTER_CODE,COST_CENTER_CODE,GL_ACCOUNT_CODE,FE_CODE,FE_PRACTICE_GROUP_CODE,FE_OFFICE_CODE,FE_TEAM_CODE,LEAD_PARTNER_CODE,LEAD_PARTNER_PRACTICE_GROUP_CODE,LEAD_PARTNER_OFFICE_CODE,LEAD_PARTNER_TEAM_CODE,MATTER_CODE,VENDOR_CODE,DOCUMENT_TEXT,DOCUMENT_DATE,DOCUMENT_NUMBER,DOCUMENT_TYPE_CODE,POSTING_PERIOD,POSTING_DATE,DOCUMENT_CURRENCY_CODE,ACTUAL_AMOUNT_DC,OFFICE_CURRENCY_CODE,ACTUAL_AMOUNT_OC,GROUP_CURRENCY_CODE,ACTUAL_AMOUNT_GC,BUDGET_AMOUNT_GC,FORECAST_AMOUNT_GC
30/03/2026,Actual,CA11,NRFC,VAN1,VAN1IP2253,4000000000,,IP,VAN1,2253,103815,IP,VAN1,2253,1001253844,#,#,20260227,9090845876,RV,202602,20260227,USD,362.65,CAD,500,USD,377.9661,0,0
30/03/2026,Actual,CA11,NRFC,VAN1,VAN1BF1250,4000000000,,BF,VAN1,1250,144491,BF,VAN1,1250,1001281557,#,#,20251015,100359044,AB,202602,20260227,CAD,-2492,CAD,-2492,USD,-1883.783,0,0
30/03/2026,Actual,CA11,NRFC,TOR1,TOR1CS1501,4003000000,,CS,TOR1,1501,102341,CS,TOR1,1501,1001355860,#,#,20260227,9090845596,RV,202602,20260227,CAD,-105,CAD,-105,USD,-79.3729,0,0
30/03/2026,Actual,CA12,NRFC,TOR2,TOR2IP2253,4310000000,,IP,TOR2,2253,103724,IP,TOR1,2253,1000110822,#,#,20260225,8000066155,RC,202602,20260225,CAD,-626.31,CAD,-626.31,USD,-473.4479,0,0
30/03/2026,Actual,CA12,NRFC,TOR2,TOR2IP2253,4310000000,,IP,TOR2,2253,103724,IP,TOR1,2253,1000110822,#,#,20241011,100081916,AB,202602,20260204,CAD,626.31,CAD,626.31,USD,473.4479,0,0
30/03/2026,Actual,CA11,NRFC,TOR1,TOR1IP2253,4000000000,,IP,TOR1,2253,144662,CS,OTT1,1501,1001364899,#,#,20260213,9090840748,RV,202602,20260213,CAD,5360,CAD,5360,USD,4051.7965,0,0
30/03/2026,Actual,CA51,NRFC,CAL5,CAL5CS1501,6190900000,,CS,CAL5,1501,0,#,#,#,9000000495,139673,010052185892 Sean Wallace Client lunch,20260225,1900210822,KR,202602,20260227,CAD,111.71,CAD,111.71,USD,84.4452,0,0
30/03/2026,Actual,CA51,NRFC,CAL5,CAL5DR1754,6190900000,,DR,CAL5,1754,0,#,#,#,9000000495,103105,010051699461 John Cassell Lunch with Joel Lauzon,20260121,1900209223,KR,202602,20260201,CAD,158.12,CAD,158.12,USD,119.528,0,0
30/03/2026,Actual,CA51,NRFC,MTR3,MTR3DR1754,6190900000,,DR,MTR3,1754,0,#,#,#,9000000495,104578,010051804642 Michel Belanger Roy Lunch avec Christ,20260113,1900209472,KR,202602,20260205,CAD,115.4,CAD,115.4,USD,87.2346,0,0
30/03/2026,Actual,CA51,NRFC,MTR3,MTR3AD3251,6220500000,,AD,MTR3,3251,0,#,#,#,9000001142,#,I SAUTE JOHANNE MENARD,20260210,2000138271,ZR,202602,20260210,CAD,-40,CAD,-40,USD,-30.2373,0,0
30/03/2026,Actual,CA51,NRFC,MTR3,MTR3AD3251,6220500000,,AD,MTR3,3251,0,#,#,#,9000001142,#,I SAUTE FARHAN,20260211,2000138282,ZR,202602,20260211,CAD,-40,CAD,-40,USD,-30.2373,0,0
30/03/2026,Actual,CA11,NRFC,TOR1,TOR1CS1501,4000000000,,CS,TOR1,1501,104518,CS,TOR1,1501,1001266980,#,#,20260220,9090842948,RV,202602,20260220,CAD,1500,CAD,1500,USD,1133.8983,0,0
30/03/2026,Actual,CA11,NRFC,QUE1,QUE1IP2251,4000000000,,IP,QUE1,2251,102371,IP,QUE1,2251,1001218429,#,#,20260212,9090840600,RV,202602,20260212,CAD,480,CAD,480,USD,362.8474,0,0
30/03/2026,Actual,CA11,NRFC,TOR1,TOR1CS1501,4000000000,,CS,TOR1,1501,102309,CS,MTR1,1501,1001261281,#,#,20260224,9090844143,RV,202602,20260224,CAD,4334.86,CAD,4334.86,USD,3276.8602,0,0
30/03/2026,Actual,CA12,NRFC,MTR2,MTR2IP2253,4000000000,,IP,MTR2,2253,102438,IP,MTR2,2253,1001320012,#,#,20260204,9110200348,RV,202602,20260204,CAD,250,CAD,250,USD,188.983,0,0
30/03/2026,Actual,CA11,NRFC,MTR1,MTR1CS1501,4000000000,,CS,MTR1,1501,103891,TX,MTR1,2750,1001242790,#,#,20260224,9090843791,RV,202602,20260224,CAD,600,CAD,600,USD,453.5593,0,0
30/03/2026,Actual,CA11,NRFC,MTR1,MTR1FN3750,6710000000,,FN,MTR1,3750,102960,CS,TOR1,1501,1001312857,#,#,20260212,1400411120,DZ,202602,20260212,CAD,0,CAD,0,USD,0,0,0
30/03/2026,Actual,CA11,NRFC,QUE1,QUE1BF1250,4000000000,,BF,QUE1,1250,103642,BF,MTR1,1250,1001213233,#,#,20260227,9090845829,RV,202602,20260227,CAD,8289.5,CAD,8289.5,USD,6266.2998,0,0
30/03/2026,Actual,CA11,NRFC,CAL1,CAL1EL2000,4000000000,,EL,CAL1,2000,144365,CS,VAN1,1501,1001369549,#,#,20260203,9090839811,RV,202602,20260203,CAD,1970.68,CAD,1970.68,USD,1489.7004,0,0
30/03/2026,Actual,CA11,NRFC,TOR1,TOR1BF1250,4003000000,,BF,TOR1,1250,104039,CS,TOR1,1501,1001348995,#,#,20260212,9090840574,RV,202602,20260212,CAD,-426.25,CAD,-426.25,USD,-322.2161,0,0
30/03/2026,Actual,CA11,NRFC,TOR1,TOR1CS1501,4000000000,,CS,TOR1,1501,103127,CS,CAL1,1501,1001366331,#,#,20260227,9090845835,RV,202602,20260227,USD,9046.5,CAD,12656.06,USD,9567.123,0,0
30/03/2026,Actual,CA11,NRFC,VAN1,VAN1PD5011,4003000000,,PD,VAN1,5011,144359,DR,VAN1,1754,1001281630,#,#,20260220,9090843299,RV,202602,20260220,CAD,-750.75,CAD,-750.75,USD,-567.5161,0,0
30/03/2026,Actual,CA11,NRFC,TOR1,TOR1CS1501,4000000000,,CS,TOR1,1501,102837,CS,TOR1,1501,1001355657,#,#,20260213,9090840979,RV,202602,20260213,CAD,2875.5,CAD,2875.5,USD,2173.683,0,0
30/03/2026,Actual,CA11,NRFC,CAL1,CAL1CS1501,4170000000,,CS,CAL1,1501,103130,CS,CAL1,1501,1001366123,#,#,20260225,9090844610,RV,202602,20260225,CAD,-40.5,CAD,-40.5,USD,-30.6153,0,0
30/03/2026,Actual,CA11,NRFC,QUE1,QUE1DR1754,4000000000,,DR,QUE1,1754,146080,CS,TOR1,1501,1001378527,#,#,20260223,9090843357,RV,202602,20260223,CAD,773.5,CAD,773.5,USD,584.7135,0,0
30/03/2026,Actual,CA11,NRFC,CAL1,CAL1CS1501,4000000000,,CS,CAL1,1501,103127,CS,CAL1,1501,1001332120,#,#,20260224,9090844001,RV,202602,20260224,CAD,3712.5,CAD,3712.5,USD,2806.3982,0,0
30/03/2026,Actual,CA11,NRFC,MTR1,MTR1FN3750,6720000000,,FN,MTR1,3750,102345,CS,MTR1,1501,1001358898,#,#,20260220,1400411973,DZ,202602,20260220,CAD,0,CAD,0,USD,0,0,0
30/03/2026,Actual,CA11,NRFC,TOR1,TOR1BF1250,5400000000,,BF,TOR1,1250,102414,BF,TOR1,1250,1001359196,#,#,20260224,9090843881,RV,202602,20260224,USD,199.86,CAD,275.56,USD,208.3047,0,0
30/03/2026,Actual,CA11,NRFC,QUE1,QUE1TX2750,4000000000,,TX,QUE1,2750,102161,TX,QUE1,2750,1001366970,#,#,20260224,9090844184,RV,202602,20260224,CAD,1650,CAD,1650,USD,1247.2881,0,0
30/03/2026,Actual,CA11,NRFC,CAL1,CAL1EL2000,4000000000,,EL,CAL1,2000,104440,EL,CAL1,2000,1001375047,#,#,20260227,9090845431,RV,202602,20260227,CAD,4063.5,CAD,4063.5,USD,3071.7304,0,0
30/03/2026,Actual,CA11,NRFC,MTR1,MTR1CS1501,4000000000,,CS,MTR1,1501,149952,DR,MTR1,1754,1001359033,#,#,20260218,9090841987,RV,202602,20260218,CAD,213,CAD,213,USD,161.0136,0,0
30/03/2026,Actual,CA12,NRFC,MTR2,MTR2IP2253,4000000000,,IP,MTR2,2253,102435,IP,MTR2,2253,1001271264,#,#,20260224,9110201022,RV,202602,20260224,CAD,500,CAD,500,USD,377.9661,0,0
30/03/2026,Actual,CA11,NRFC,TOR1,TOR1CS1501,4003000000,,CS,TOR1,1501,104039,CS,TOR1,1501,1001348995,#,#,20260212,9090840574,RV,202602,20260212,CAD,-52.5,CAD,-52.5,USD,-39.6864,0,0
30/03/2026,Actual,CA11,NRFC,QUE1,QUE1IP2251,4000000000,,IP,QUE1,2251,102371,IP,QUE1,2251,1001353647,#,#,20260211,9090840414,RV,202602,20260211,CAD,775,CAD,775,USD,585.8474,0,0
30/03/2026,Actual,CA51,NRFC,OTT3,OTT3DR1754,6191200000,,DR,OTT3,1754,0,#,#,#,9000000495,103072,010052045504 Meghan Fougere Dinner with fellow OCA,20260217,1900210346,KR,202602,20260219,CAD,106.95,CAD,106.95,USD,80.8469,0,0
30/03/2026,Actual,CA11,NRFC,CAL1,CAL1TX2750,5115020000,,TX,CAL1,2750,0,#,#,#,9000000515,#,Calgary Tax,20260201,100358612,SA,202602,20260201,CAD,145.72,CAD,145.72,USD,110.1544,0,0
30/03/2026,Actual,CA51,NRFC,OTT3,OTT3FN3750,6010100000,,FN,OTT3,3750,0,#,#,#,9000000515,#,Ottawa Finance,20260201,100112201,SA,202602,20260201,CAD,92.77,CAD,92.77,USD,70.1278,0,0
