LastUpdateDT,CALENDAR_DAY,CALENDAR_DAY_STRING,REGION_SRC,TIMEKEEPER_ID,GENDER,PRACTICE_GROUP_CODE,OFFICE_CODE,TEAM_CODE,EMP_GROUP_CODE,EMP_SUB_GROUP_CODE,BAND_GROUP_CODE,BAND_LEVEL_CODE,FTE,EMPLOYMENT_STATUS_CODE,EMPLOYMENT_STATUS_DESC,WORKDAY_FLAG,WEEKEND_FLAG,HOLIDAY_FLAG,CAL_YEAR,CAL_PERIOD,TARGET_HOURS,BILLABLE_HOURS,NON_BILLABLE_HOURS,PRO_BONO_HOURS,FIRM_RELATED_HOURS,LEAVE_HOURS,PART_TIME_HOURS
30/03/2026,21/02/2026,20260221,NRFC,144313,M,FN,VAN1,3750,B,BN,,,1,3,Active,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144318,M,CS,VAN1,1501,L,LA,PU,U1,0,0,Withdrawn,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144320,F,RE,VAN1,2500,L,LA,,,0,0,Withdrawn,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144323,F,CS,VAN1,1501,L,LA,,,0,0,Withdrawn,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144337,F,CS,VAN1,1501,A,AA,AS,A3,0,0,Withdrawn,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144346,F,IP,VAN1,2252,L,LA,PU,UF,0,0,Withdrawn,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144352,F,DR,VAN1,1754,L,LA,,,0,0,Withdrawn,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144354,F,CS,VAN1,1501,B,BN,PU,U1,0,0,Withdrawn,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144365,M,CS,VAN1,1501,E,EE,PA,P2,1,3,Active,0,1,0,2026,202602,0,1.4,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144372,M,IP,VAN1,2253,A,AT,PU,U3,0,0,Withdrawn,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144392,M,IT,VAN1,4052,B,BN,,,0,0,Withdrawn,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144397,F,PD,VAN1,5011,T,TL,,,0,0,Withdrawn,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144400,F,EL,VAN1,2000,A,AA,AS,A2,0,0,Withdrawn,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144406,F,FN,VAN1,3750,B,BN,,,1,3,Active,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144412,F,CS,VAN1,1501,L,LA,PU,U1,0,0,Withdrawn,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144423,F,DR,VAN1,1754,L,LA,,,0,0,Withdrawn,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,19/02/2026,20260219,NRFC,131323,M,MX,CAL1,4501,B,BP,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,19/02/2026,20260219,NRFC,131335,,OS,CAL1,4752,B,BN,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,19/02/2026,20260219,NRFC,131337,M,FN,MTR1,3750,B,BN,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,155249,M,IT,MTR1,4052,B,BP,,,1,3,Active,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,155353,F,CS,QUE1,1501,P,PC,PL,L1,1,3,Active,1,0,0,2026,202602,7,0,7,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,155359,F,IT,TOR1,4000,B,BM,,,1,3,Active,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,155362,F,PD,MTR1,5001,B,BN,,,1,3,Active,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,18/02/2026,20260218,NRFC,146434,M,CS,MTR1,1501,F,FF,PA,P1,1,3,Active,1,0,0,2026,202602,7,8,0,0,0,0,0
30/03/2026,18/02/2026,20260218,NRFC,146509,M,CS,MTR1,1541,U,UR,PU,U3,1,3,Active,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,18/02/2026,20260218,NRFC,146580,M,IT,TOR1,4052,B,BP,,,1,3,Active,1,0,0,2026,202602,7,0,0,0,0,0,0
