Id,ClientId,TotalWIP,LastWIPDate,TotalAR,LastBillDate,TrustFundsBalance,UnallocatedFundsBalance,RetainerFundsBalance,ClientCurrency,Processed,ProcessTimeStamp,LoadTimeStamp
60414,10000390,0,NULL,2102.54,2025-10-06 0:00,0,0,0,USD,1,2025-10-30 6:30,2025-10-30 6:16
60415,10000391,6198.79,2025-10-29 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60416,10000392,477.91,2025-11-11 0:00,5247.48,2025-11-11 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60417,10000393,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60418,10000395,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60419,10000397,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60420,10000399,0,NULL,0,NULL,0,0,0,USD,1,2021-03-28 6:30,2021-03-27 13:25
60421,10000400,0,NULL,5364.94,2025-09-08 0:00,0,0,0,USD,1,2025-09-09 7:30,2025-09-09 6:17
60422,10000401,19.52,2025-05-31 0:00,512.48,2025-07-29 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60423,10000402,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60424,10000403,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60425,10000405,0,NULL,0,NULL,0,0,0,USD,1,2025-11-11 6:30,2025-11-11 6:16
60426,10000407,0,NULL,0,NULL,68.09,0,0,USD,1,2024-05-23 6:30,2024-05-22 6:15
60427,10000409,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60428,10000410,0,NULL,0,NULL,0,0,0,USD,1,2019-10-17 6:30,2019-10-16 6:15
60429,10000411,0,NULL,0,NULL,0,0,0,USD,1,2019-08-22 6:30,2019-08-21 6:15
60430,10000412,78874.39,2025-11-12 0:00,13767.61,2025-10-17 0:00,-445.32,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60431,10000413,0,NULL,0,NULL,526.33,0,0,USD,1,2021-05-15 6:31,2021-05-14 8:45
60432,10000415,0,NULL,-63.3,2023-02-10 0:00,0,0,0,USD,1,2023-05-17 6:31,2023-05-16 6:05
60433,10000417,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60434,10000419,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60435,10000420,0,NULL,0,NULL,0,0,0,USD,1,2022-06-29 6:31,2022-06-28 6:05
60436,10000421,0,NULL,0,NULL,0,0,0,USD,1,2022-08-17 6:31,2022-08-16 6:05
60437,10000422,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60438,10000423,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60439,10000425,892.28,2025-11-07 0:00,5482.59,2025-10-17 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60440,10000427,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60441,10000429,0,NULL,0,NULL,16.48,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60442,10000430,0,NULL,0,NULL,0,0,0,USD,1,2025-04-18 7:30,2025-04-18 6:16
60443,10000431,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
