Id,MatterId,TotalWIP,LastWIPDate,TotalAR,LastBillDate,TrustFundsBalance,UnallocatedFundsBalance,RetainerFundsBalance,MatterCurrency,Processed,ProcessTimeStamp,LoadTimeStamp
1223094,1001368107,38641.94,2025-11-08 0:00,0,NULL,0,0,0,USD,1,2025-11-13 7:14,2025-11-13 6:16
1223093,1001368222,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:55,2025-11-12 6:15
1223092,1001368180,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:44,2025-11-12 6:15
1223091,1001368138,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:55,2025-11-12 6:15
1223090,1001368242,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:41,2025-11-12 6:15
1223089,1001368265,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:56,2025-11-12 6:15
1223088,1001368236,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:44,2025-11-12 6:15
1223087,1001368189,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:56,2025-11-12 6:15
1223086,1001368164,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:41,2025-11-12 6:15
1223085,1001368151,285.53,2025-11-11 0:00,0,NULL,0,0,0,USD,1,2025-11-13 7:31,2025-11-13 6:16
1223084,1001368122,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:43,2025-11-12 6:15
1223083,1001368120,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:55,2025-11-12 6:15
1223082,1001368145,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:41,2025-11-12 6:15
1223081,1001368270,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:54,2025-11-12 6:15
1223080,1001368274,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:43,2025-11-12 6:15
1223079,1001368259,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:55,2025-11-12 6:15
1223078,1001368239,3317,2025-11-11 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:58,2025-11-13 6:16
1223077,1001368213,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:54,2025-11-12 6:15
1223076,1001368191,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:43,2025-11-12 6:15
1223075,1001368152,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:54,2025-11-12 6:15
1223074,1001368179,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:41,2025-11-12 6:15
1223073,1001368116,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:54,2025-11-12 6:15
1223072,1001368267,212.36,2025-11-12 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:49,2025-11-13 6:15
1223071,1001368135,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:54,2025-11-12 6:15
1223070,1001368109,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 7:02,2025-11-12 6:15
1223069,1001368156,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:52,2025-11-12 6:15
1223068,1001368160,1382.09,2025-11-11 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:52,2025-11-13 6:16
1223067,1001368193,7501,2025-11-12 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:49,2025-11-13 6:16
1223066,1001368108,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:39,2025-11-12 6:15
1223065,1001368133,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:53,2025-11-12 6:15
1223064,1001368282,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:42,2025-11-12 6:15
1223063,1001368280,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:54,2025-11-12 6:15
1223062,1001368293,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 7:02,2025-11-12 6:15
1223061,1001368123,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:53,2025-11-12 6:15
1223060,1001368129,105.4,2025-11-12 0:00,0,NULL,0,0,0,USD,1,2025-11-13 7:29,2025-11-13 6:16
1223059,1001368284,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:54,2025-11-12 6:15
1223058,1001368279,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:39,2025-11-12 6:15
1223057,1001368110,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:49,2025-11-12 6:15
1223056,1001368272,10702.5,2025-11-11 0:00,0,NULL,0,0,0,USD,1,2025-11-12 6:41,2025-11-12 6:15
